"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hmgn3",0,4.09730691326776,0.864,0.119,0
"Id2",0,3.9459797958952,0.931,0.19,0
"Mef2c",4.28073281854924e-169,-2.92275140140206,0.204,0.839,8.08716044080323e-165
"Gpx1",5.26068939061464e-165,-3.01172695354092,0.187,0.815,9.93849439674918e-161
"Actb",5.17246090326266e-164,-1.68244212926242,0.844,0.994,9.77181313844381e-160
"Spi1",2.66983333781759e-141,-3.58920393238493,0.099,0.704,5.04384914180499e-137
"H3f3b",4.33592666687401e-115,-1.24024014975156,0.75,0.965,8.19143265905837e-111
"Tcf4",4.10982238277e-103,1.55051739095734,0.848,0.451,7.76427644552908e-99
"Prdx1",2.846945881112e-85,1.40292097278432,0.872,0.575,5.3784501585968e-81
"Mef2a",1.55263016692885e-84,-2.26085880583974,0.198,0.638,2.93322891136198e-80
"Zeb2",7.28083777715241e-42,-1.72620454330305,0.222,0.506,1.37549587285963e-37
"Fus",1.15438995264199e-39,-1.04499555704472,0.451,0.724,2.18087349853125e-35
"Npm1",1.64171071616229e-36,-1.22973983908195,0.34,0.591,3.1015198849738e-32
"Hmgb1",8.46600876814735e-29,-1.06081475979707,0.344,0.579,1.5993983764784e-24
