"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Hmgn3",0.00236881517593101,3.10081227775321,0.692,0.083,1
"Cbx3",0.0043715097917865,6.59308399861672,0.538,0,1
"Spi1",0.00519712366826754,-6.70036822649281,0,0.5,1
"Gsk3b",0.00997204224083497,6.14780620632274,0.462,0,1
"Nfia",0.00997204224083497,6.26393699718813,0.462,0,1
"Tcf4",0.00997204224083497,6.35560410681128,0.462,0,1
"Wbp2",0.00997204224083497,6.31655973428541,0.462,0,1
"Cdk2ap2",0.0127584297695074,-6.0653202373398,0,0.417,1
"Nap1l5",0.0216829568880068,5.8707460015599,0.385,0,1
"Hmgb2",0.0256181851945048,-2.91951067561201,0.077,0.5,1
"Klf2",0.0298346371350379,-5.958300512003,0,0.333,1
"Lmo2",0.0298346371350379,-5.66241782499664,0,0.333,1
"Hnrnpk",0.0342558590721853,0.849183004645335,0.846,0.583,1
"Mef2c",0.0385745864664955,-2.85909813331163,0.077,0.417,1
"Gpx1",0.0430176355641227,-1.4322784293379,0.308,0.667,1
"Apbb1",0.0452950543307626,5.60994761961991,0.308,0,1
"Atg7",0.0452950543307626,5.61946359856848,0.308,0,1
"Cdk2ap1",0.0452950543307626,5.49515271526029,0.308,0,1
"Jmjd1c",0.0452950543307626,5.56232363072642,0.308,0,1
"Nedd4",0.0452950543307626,5.69017989675986,0.308,0,1
"Ppp3ca",0.0452950543307626,5.4865551305727,0.308,0,1
"Smarcd1",0.0452950543307626,5.24358297124011,0.308,0,1
"Smarcd3",0.0452950543307626,5.68533287858372,0.308,0,1
"Sox10",0.0452950543307626,5.69305508518597,0.308,0,1
"Tada3",0.0452950543307626,5.4739580766422,0.308,0,1
"Tdg",0.0452950543307626,5.71253967431375,0.308,0,1
"Xbp1",0.0452950543307626,5.82044744669037,0.308,0,1
